game,std_w,std_func,mean_on_iters,,,game,std_w,std_func,mean_on_iters
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,game,std_w,std_func,mean_on_iters
,,,,,,ot_4,0,regular_std,1.975
,,,,,,ot_4,0.01,regular_std,1.9775
,,,,,,ot_4,0.05,regular_std,1.98
,,,,,,ot_4,0.1,regular_std,1.97
,,,,,,ot_4,0.5,regular_std,1.9925
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,game,std_w,std_func,mean_on_iters
,,,,,,ot_4,0,last_res_std,1.975
,,,,,,ot_4,0.01,last_res_std,1.975
,,,,,,ot_4,0.05,last_res_std,1.975
,,,,,,ot_4,0.1,last_res_std,1.9875
,,,,,,ot_4,0.5,last_res_std,1.98
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,game,std_w,std_func,mean_on_iters
,,,,,,ot_8,0,regular_std,1.4675
,,,,,,ot_8,0.01,regular_std,1.475
,,,,,,ot_8,0.05,regular_std,1.4875
,,,,,,ot_8,0.1,regular_std,1.4575
,,,,,,ot_8,0.5,regular_std,1.5775
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,game,std_w,std_func,mean_on_iters
,,,,,,ot_8,0,last_res_std,1.5025
,,,,,,ot_8,0.01,last_res_std,1.4725
,,,,,,ot_8,0.05,last_res_std,1.4975
,,,,,,ot_8,0.1,last_res_std,1.4725
,,,,,,ot_8,0.5,last_res_std,1.6125
